Name,District,Sentiment,Comment,Date,Predicted_Sentiment,Sentiment_Score,Entities,Topic,Sentiment_Match
Lisa French,Gasabo,Neutral,I don't see much difference between the old and new fare systems.,3/24/2024,neutral,0.0,[],new model daily,True
Angela Meyer,Kicukiro,Negative,This new fare system is too expensive for long commutes.,9/14/2024,neutral,0.0,[],new model daily,False
Jack Turner,Nyarugenge,Positive,Distance-based fares make the public transport system more efficient.,12/14/2024,positive,0.4355466365814209,[],transport make efficient,True
Mitchell Williams,Kicukiro,Negative,Now I pay more for the same journey. This is not fair!,2/1/2024,positive,0.3310074508190155,[],transport make efficient,False
Cassandra Decker,Nyarugenge,Neutral,It’s too early to tell if this system is better or worse.,4/1/2024,negative,-0.3974328935146332,[],worse tell early,False
Timothy Moore,Gasabo,Negative,The new fare model is confusing and costly for daily commuters.,5/12/2024,neutral,0.0,"[{'text': 'daily', 'label': 'DATE'}]",new model daily,False
Brittany Massey,Kicukiro,Negative,Now I pay more for the same journey. This is not fair!,3/16/2024,positive,0.3310074508190155,[],transport make efficient,False
Deborah Green,Nyarugenge,Positive,I think the distance-based fare is much fairer than the flat rate.,4/23/2024,neutral,0.0,[],rate flat preferred,False
Thomas Conway,Gasabo,Negative,I preferred the flat rate fare. It was simpler and cheaper.,1/12/2024,neutral,0.0,[],rate flat preferred,False
Melissa Cunningham,Gasabo,Positive,Distance-based fares make the public transport system more efficient.,5/22/2024,positive,0.4355466365814209,[],transport make efficient,True
William Hall,Nyarugenge,Negative,This new fare system is too expensive for long commutes.,6/18/2024,neutral,0.0,[],new model daily,False
Zachary Turner,Gasabo,Negative,Now I pay more for the same journey. This is not fair!,11/2/2024,positive,0.3310074508190155,[],transport make efficient,False
Jeffrey Goodwin,Kicukiro,Neutral,It’s too early to tell if this system is better or worse.,7/14/2024,negative,-0.3974328935146332,[],worse tell early,False
Kimberly Brewer,Kicukiro,Neutral,I don't see much difference between the old and new fare systems.,11/4/2024,neutral,0.0,[],new model daily,True
Tina Grant,Gasabo,Positive,This new fare system saves me money on short trips.,10/13/2024,positive,0.2453068792819976,[],short trip money,True
Anne Olsen,Kicukiro,Positive,Distance-based fares make the public transport system more efficient.,4/8/2024,positive,0.4355466365814209,[],transport make efficient,True
Stephanie Burnett,Kicukiro,Negative,Now I pay more for the same journey. This is not fair!,2/3/2024,positive,0.3310074508190155,[],transport make efficient,False
Tyler Miller,Nyarugenge,Neutral,It’s too early to tell if this system is better or worse.,1/29/2024,negative,-0.3974328935146332,[],worse tell early,False
Joshua Hall DDS,Kicukiro,Positive,Distance-based fares make the public transport system more efficient.,11/25/2024,positive,0.4355466365814209,[],transport make efficient,True
Brian Moyer,Kicukiro,Neutral,I'm still getting used to the new pricing system.,11/4/2024,positive,0.3760138154029846,[],new model daily,False
Charles Chen,Gasabo,Neutral,I don't see much difference between the old and new fare systems.,11/3/2024,neutral,0.0,[],new model daily,True
Guy Johnson,Kicukiro,Positive,This new fare system saves me money on short trips.,4/4/2024,positive,0.2453068792819976,[],short trip money,True
David Andersen,Kicukiro,Neutral,The change is interesting but needs more public education.,11/9/2024,positive,0.3718062341213226,[],transport make efficient,False
Jasmine Freeman,Kicukiro,Positive,Distance-based fares make the public transport system more efficient.,10/24/2024,positive,0.4355466365814209,[],transport make efficient,True
Isabel Johnston,Gasabo,Negative,I preferred the flat rate fare. It was simpler and cheaper.,6/3/2024,neutral,0.0,[],rate flat preferred,False
Ashley Elliott,Nyarugenge,Negative,I preferred the flat rate fare. It was simpler and cheaper.,4/17/2024,neutral,0.0,[],rate flat preferred,False
Javier Barrett,Nyarugenge,Neutral,It’s too early to tell if this system is better or worse.,12/29/2024,negative,-0.3974328935146332,[],worse tell early,False
Gabriel Schneider,Kicukiro,Negative,Distance-based pricing is unfair to people who live far from the city.,7/7/2024,negative,-0.5757277607917786,[],transport make efficient,True
Dennis Pena,Nyarugenge,Neutral,The distance-based fare has pros and cons depending on where you live.,8/27/2024,positive,0.3393283188343048,[],transport make efficient,False
Kaitlyn Rivas,Nyarugenge,Negative,This new fare system is too expensive for long commutes.,5/25/2024,neutral,0.0,[],new model daily,False
Janet Davis,Kicukiro,Negative,This new fare system is too expensive for long commutes.,4/4/2024,neutral,0.0,[],new model daily,False
Zachary Skinner,Nyarugenge,Neutral,It’s too early to tell if this system is better or worse.,11/4/2024,negative,-0.3974328935146332,[],worse tell early,False
Laurie Cunningham,Gasabo,Positive,I like the new system. It's more transparent and reasonable.,3/24/2024,positive,0.4568903744220733,[],new model daily,True
Tammy Davis,Kicukiro,Positive,Distance-based fares make the public transport system more efficient.,9/5/2024,positive,0.4355466365814209,[],transport make efficient,True
John Hughes,Gasabo,Positive,I think the distance-based fare is much fairer than the flat rate.,6/19/2024,neutral,0.0,[],rate flat preferred,False
