Name,District,Sentiment,Comment,Date,Predicted_Sentiment,Sentiment_Score,Entities,Topic
Lisa French,Gasabo,Neutral,I don't see much difference between the old and new fare systems.,3/24/2024,neutral,0.0,[],new model daily
Lisa French,Gasabo,Neutral,I don't see much difference between the old and new fare systems.,3/24/2024,neutral,0.0,[],new model daily
Lisa French,Gasabo,Neutral,I don't see much difference between the old and new fare systems.,3/24/2024,neutral,0.0,[],new model daily
Lisa French,Gasabo,Neutral,I don't see much difference between the old and new fare systems.,3/24/2024,neutral,0.0,[],new model daily
Lisa French,Gasabo,Neutral,I don't see much difference between the old and new fare systems.,3/24/2024,neutral,0.0,[],new model daily
Lisa French,Gasabo,Neutral,I don't see much difference between the old and new fare systems.,3/24/2024,neutral,0.0,[],new model daily
Lisa French,Gasabo,Neutral,I don't see much difference between the old and new fare systems.,3/24/2024,neutral,0.0,[],new model daily
Lisa French,Gasabo,Neutral,I don't see much difference between the old and new fare systems.,3/24/2024,neutral,0.0,[],new model daily
Lisa French,Gasabo,Neutral,I don't see much difference between the old and new fare systems.,3/24/2024,neutral,0.0,[],new model daily
Lisa French,Gasabo,Neutral,I don't see much difference between the old and new fare systems.,3/24/2024,neutral,0.0,[],new model daily
Lisa French,Gasabo,Neutral,I don't see much difference between the old and new fare systems.,3/24/2024,neutral,0.0,[],new model daily
Angela Meyer,Kicukiro,Negative,This new fare system is too expensive for long commutes.,9/14/2024,neutral,0.0,[],new model daily
Angela Meyer,Kicukiro,Negative,This new fare system is too expensive for long commutes.,9/14/2024,neutral,0.0,[],new model daily
Angela Meyer,Kicukiro,Negative,This new fare system is too expensive for long commutes.,9/14/2024,neutral,0.0,[],new model daily
Angela Meyer,Kicukiro,Negative,This new fare system is too expensive for long commutes.,9/14/2024,neutral,0.0,[],new model daily
Angela Meyer,Kicukiro,Negative,This new fare system is too expensive for long commutes.,9/14/2024,neutral,0.0,[],new model daily
Angela Meyer,Kicukiro,Negative,This new fare system is too expensive for long commutes.,9/14/2024,neutral,0.0,[],new model daily
Angela Meyer,Kicukiro,Negative,This new fare system is too expensive for long commutes.,9/14/2024,neutral,0.0,[],new model daily
Angela Meyer,Kicukiro,Negative,This new fare system is too expensive for long commutes.,9/14/2024,neutral,0.0,[],new model daily
Angela Meyer,Kicukiro,Negative,This new fare system is too expensive for long commutes.,9/14/2024,neutral,0.0,[],new model daily
Angela Meyer,Kicukiro,Negative,This new fare system is too expensive for long commutes.,9/14/2024,neutral,0.0,[],new model daily
Jack Turner,Nyarugenge,Positive,Distance-based fares make the public transport system more efficient.,12/14/2024,positive,0.4355466365814209,[],transport make efficient
Jack Turner,Nyarugenge,Positive,Distance-based fares make the public transport system more efficient.,12/14/2024,positive,0.4355466365814209,[],transport make efficient
Jack Turner,Nyarugenge,Positive,Distance-based fares make the public transport system more efficient.,12/14/2024,positive,0.4355466365814209,[],transport make efficient
Jack Turner,Nyarugenge,Positive,Distance-based fares make the public transport system more efficient.,12/14/2024,positive,0.4355466365814209,[],transport make efficient
Jack Turner,Nyarugenge,Positive,Distance-based fares make the public transport system more efficient.,12/14/2024,positive,0.4355466365814209,[],transport make efficient
Jack Turner,Nyarugenge,Positive,Distance-based fares make the public transport system more efficient.,12/14/2024,positive,0.4355466365814209,[],transport make efficient
Jack Turner,Nyarugenge,Positive,Distance-based fares make the public transport system more efficient.,12/14/2024,positive,0.4355466365814209,[],transport make efficient
Jack Turner,Nyarugenge,Positive,Distance-based fares make the public transport system more efficient.,12/14/2024,positive,0.4355466365814209,[],transport make efficient
Jack Turner,Nyarugenge,Positive,Distance-based fares make the public transport system more efficient.,12/14/2024,positive,0.4355466365814209,[],transport make efficient
Jack Turner,Nyarugenge,Positive,Distance-based fares make the public transport system more efficient.,12/14/2024,positive,0.4355466365814209,[],transport make efficient
Jack Turner,Nyarugenge,Positive,Distance-based fares make the public transport system more efficient.,12/14/2024,positive,0.4355466365814209,[],transport make efficient
Jack Turner,Nyarugenge,Positive,Distance-based fares make the public transport system more efficient.,12/14/2024,positive,0.4355466365814209,[],transport make efficient
Jack Turner,Nyarugenge,Positive,Distance-based fares make the public transport system more efficient.,12/14/2024,positive,0.4355466365814209,[],transport make efficient
Jack Turner,Nyarugenge,Positive,Distance-based fares make the public transport system more efficient.,12/14/2024,positive,0.4355466365814209,[],transport make efficient
Jack Turner,Nyarugenge,Positive,Distance-based fares make the public transport system more efficient.,12/14/2024,positive,0.4355466365814209,[],transport make efficient
Jack Turner,Nyarugenge,Positive,Distance-based fares make the public transport system more efficient.,12/14/2024,positive,0.4355466365814209,[],transport make efficient
Mitchell Williams,Kicukiro,Negative,Now I pay more for the same journey. This is not fair!,2/1/2024,positive,0.3310074508190155,[],transport make efficient
Mitchell Williams,Kicukiro,Negative,Now I pay more for the same journey. This is not fair!,2/1/2024,positive,0.3310074508190155,[],transport make efficient
Mitchell Williams,Kicukiro,Negative,Now I pay more for the same journey. This is not fair!,2/1/2024,positive,0.3310074508190155,[],transport make efficient
Mitchell Williams,Kicukiro,Negative,Now I pay more for the same journey. This is not fair!,2/1/2024,positive,0.3310074508190155,[],transport make efficient
Mitchell Williams,Kicukiro,Negative,Now I pay more for the same journey. This is not fair!,2/1/2024,positive,0.3310074508190155,[],transport make efficient
Mitchell Williams,Kicukiro,Negative,Now I pay more for the same journey. This is not fair!,2/1/2024,positive,0.3310074508190155,[],transport make efficient
Mitchell Williams,Kicukiro,Negative,Now I pay more for the same journey. This is not fair!,2/1/2024,positive,0.3310074508190155,[],transport make efficient
Mitchell Williams,Kicukiro,Negative,Now I pay more for the same journey. This is not fair!,2/1/2024,positive,0.3310074508190155,[],transport make efficient
Cassandra Decker,Nyarugenge,Neutral,It’s too early to tell if this system is better or worse.,4/1/2024,negative,-0.3974328935146332,[],worse tell early
Cassandra Decker,Nyarugenge,Neutral,It’s too early to tell if this system is better or worse.,4/1/2024,negative,-0.3974328935146332,[],worse tell early
Cassandra Decker,Nyarugenge,Neutral,It’s too early to tell if this system is better or worse.,4/1/2024,negative,-0.3974328935146332,[],worse tell early
Cassandra Decker,Nyarugenge,Neutral,It’s too early to tell if this system is better or worse.,4/1/2024,negative,-0.3974328935146332,[],worse tell early
Cassandra Decker,Nyarugenge,Neutral,It’s too early to tell if this system is better or worse.,4/1/2024,negative,-0.3974328935146332,[],worse tell early
Cassandra Decker,Nyarugenge,Neutral,It’s too early to tell if this system is better or worse.,4/1/2024,negative,-0.3974328935146332,[],worse tell early
Cassandra Decker,Nyarugenge,Neutral,It’s too early to tell if this system is better or worse.,4/1/2024,negative,-0.3974328935146332,[],worse tell early
Cassandra Decker,Nyarugenge,Neutral,It’s too early to tell if this system is better or worse.,4/1/2024,negative,-0.3974328935146332,[],worse tell early
Cassandra Decker,Nyarugenge,Neutral,It’s too early to tell if this system is better or worse.,4/1/2024,negative,-0.3974328935146332,[],worse tell early
Cassandra Decker,Nyarugenge,Neutral,It’s too early to tell if this system is better or worse.,4/1/2024,negative,-0.3974328935146332,[],worse tell early
Cassandra Decker,Nyarugenge,Neutral,It’s too early to tell if this system is better or worse.,4/1/2024,negative,-0.3974328935146332,[],worse tell early
Cassandra Decker,Nyarugenge,Neutral,It’s too early to tell if this system is better or worse.,4/1/2024,negative,-0.3974328935146332,[],worse tell early
Cassandra Decker,Nyarugenge,Neutral,It’s too early to tell if this system is better or worse.,4/1/2024,negative,-0.3974328935146332,[],worse tell early
Timothy Moore,Gasabo,Negative,The new fare model is confusing and costly for daily commuters.,5/12/2024,neutral,0.0,"[{'text': 'daily', 'label': 'DATE'}]",new model daily
Timothy Moore,Gasabo,Negative,The new fare model is confusing and costly for daily commuters.,5/12/2024,neutral,0.0,"[{'text': 'daily', 'label': 'DATE'}]",new model daily
Timothy Moore,Gasabo,Negative,The new fare model is confusing and costly for daily commuters.,5/12/2024,neutral,0.0,"[{'text': 'daily', 'label': 'DATE'}]",new model daily
Timothy Moore,Gasabo,Negative,The new fare model is confusing and costly for daily commuters.,5/12/2024,neutral,0.0,"[{'text': 'daily', 'label': 'DATE'}]",new model daily
Timothy Moore,Gasabo,Negative,The new fare model is confusing and costly for daily commuters.,5/12/2024,neutral,0.0,"[{'text': 'daily', 'label': 'DATE'}]",new model daily
Timothy Moore,Gasabo,Negative,The new fare model is confusing and costly for daily commuters.,5/12/2024,neutral,0.0,"[{'text': 'daily', 'label': 'DATE'}]",new model daily
Timothy Moore,Gasabo,Negative,The new fare model is confusing and costly for daily commuters.,5/12/2024,neutral,0.0,"[{'text': 'daily', 'label': 'DATE'}]",new model daily
Timothy Moore,Gasabo,Negative,The new fare model is confusing and costly for daily commuters.,5/12/2024,neutral,0.0,"[{'text': 'daily', 'label': 'DATE'}]",new model daily
Timothy Moore,Gasabo,Negative,The new fare model is confusing and costly for daily commuters.,5/12/2024,neutral,0.0,"[{'text': 'daily', 'label': 'DATE'}]",new model daily
Timothy Moore,Gasabo,Negative,The new fare model is confusing and costly for daily commuters.,5/12/2024,neutral,0.0,"[{'text': 'daily', 'label': 'DATE'}]",new model daily
Timothy Moore,Gasabo,Negative,The new fare model is confusing and costly for daily commuters.,5/12/2024,neutral,0.0,"[{'text': 'daily', 'label': 'DATE'}]",new model daily
Timothy Moore,Gasabo,Negative,The new fare model is confusing and costly for daily commuters.,5/12/2024,neutral,0.0,"[{'text': 'daily', 'label': 'DATE'}]",new model daily
Timothy Moore,Gasabo,Negative,The new fare model is confusing and costly for daily commuters.,5/12/2024,neutral,0.0,"[{'text': 'daily', 'label': 'DATE'}]",new model daily
Brittany Massey,Kicukiro,Negative,Now I pay more for the same journey. This is not fair!,3/16/2024,positive,0.3310074508190155,[],transport make efficient
Brittany Massey,Kicukiro,Negative,Now I pay more for the same journey. This is not fair!,3/16/2024,positive,0.3310074508190155,[],transport make efficient
Brittany Massey,Kicukiro,Negative,Now I pay more for the same journey. This is not fair!,3/16/2024,positive,0.3310074508190155,[],transport make efficient
Brittany Massey,Kicukiro,Negative,Now I pay more for the same journey. This is not fair!,3/16/2024,positive,0.3310074508190155,[],transport make efficient
Brittany Massey,Kicukiro,Negative,Now I pay more for the same journey. This is not fair!,3/16/2024,positive,0.3310074508190155,[],transport make efficient
Brittany Massey,Kicukiro,Negative,Now I pay more for the same journey. This is not fair!,3/16/2024,positive,0.3310074508190155,[],transport make efficient
Brittany Massey,Kicukiro,Negative,Now I pay more for the same journey. This is not fair!,3/16/2024,positive,0.3310074508190155,[],transport make efficient
Brittany Massey,Kicukiro,Negative,Now I pay more for the same journey. This is not fair!,3/16/2024,positive,0.3310074508190155,[],transport make efficient
Deborah Green,Nyarugenge,Positive,I think the distance-based fare is much fairer than the flat rate.,4/23/2024,neutral,0.0,[],rate flat preferred
Deborah Green,Nyarugenge,Positive,I think the distance-based fare is much fairer than the flat rate.,4/23/2024,neutral,0.0,[],rate flat preferred
Deborah Green,Nyarugenge,Positive,I think the distance-based fare is much fairer than the flat rate.,4/23/2024,neutral,0.0,[],rate flat preferred
Deborah Green,Nyarugenge,Positive,I think the distance-based fare is much fairer than the flat rate.,4/23/2024,neutral,0.0,[],rate flat preferred
Deborah Green,Nyarugenge,Positive,I think the distance-based fare is much fairer than the flat rate.,4/23/2024,neutral,0.0,[],rate flat preferred
Deborah Green,Nyarugenge,Positive,I think the distance-based fare is much fairer than the flat rate.,4/23/2024,neutral,0.0,[],rate flat preferred
Thomas Conway,Gasabo,Negative,I preferred the flat rate fare. It was simpler and cheaper.,1/12/2024,neutral,0.0,[],rate flat preferred
Thomas Conway,Gasabo,Negative,I preferred the flat rate fare. It was simpler and cheaper.,1/12/2024,neutral,0.0,[],rate flat preferred
Thomas Conway,Gasabo,Negative,I preferred the flat rate fare. It was simpler and cheaper.,1/12/2024,neutral,0.0,[],rate flat preferred
Thomas Conway,Gasabo,Negative,I preferred the flat rate fare. It was simpler and cheaper.,1/12/2024,neutral,0.0,[],rate flat preferred
Thomas Conway,Gasabo,Negative,I preferred the flat rate fare. It was simpler and cheaper.,1/12/2024,neutral,0.0,[],rate flat preferred
Thomas Conway,Gasabo,Negative,I preferred the flat rate fare. It was simpler and cheaper.,1/12/2024,neutral,0.0,[],rate flat preferred
Thomas Conway,Gasabo,Negative,I preferred the flat rate fare. It was simpler and cheaper.,1/12/2024,neutral,0.0,[],rate flat preferred
Thomas Conway,Gasabo,Negative,I preferred the flat rate fare. It was simpler and cheaper.,1/12/2024,neutral,0.0,[],rate flat preferred
Thomas Conway,Gasabo,Negative,I preferred the flat rate fare. It was simpler and cheaper.,1/12/2024,neutral,0.0,[],rate flat preferred
Thomas Conway,Gasabo,Negative,I preferred the flat rate fare. It was simpler and cheaper.,1/12/2024,neutral,0.0,[],rate flat preferred
Thomas Conway,Gasabo,Negative,I preferred the flat rate fare. It was simpler and cheaper.,1/12/2024,neutral,0.0,[],rate flat preferred
Thomas Conway,Gasabo,Negative,I preferred the flat rate fare. It was simpler and cheaper.,1/12/2024,neutral,0.0,[],rate flat preferred
Melissa Cunningham,Gasabo,Positive,Distance-based fares make the public transport system more efficient.,5/22/2024,positive,0.4355466365814209,[],transport make efficient
Melissa Cunningham,Gasabo,Positive,Distance-based fares make the public transport system more efficient.,5/22/2024,positive,0.4355466365814209,[],transport make efficient
Melissa Cunningham,Gasabo,Positive,Distance-based fares make the public transport system more efficient.,5/22/2024,positive,0.4355466365814209,[],transport make efficient
Melissa Cunningham,Gasabo,Positive,Distance-based fares make the public transport system more efficient.,5/22/2024,positive,0.4355466365814209,[],transport make efficient
Melissa Cunningham,Gasabo,Positive,Distance-based fares make the public transport system more efficient.,5/22/2024,positive,0.4355466365814209,[],transport make efficient
Melissa Cunningham,Gasabo,Positive,Distance-based fares make the public transport system more efficient.,5/22/2024,positive,0.4355466365814209,[],transport make efficient
Melissa Cunningham,Gasabo,Positive,Distance-based fares make the public transport system more efficient.,5/22/2024,positive,0.4355466365814209,[],transport make efficient
Melissa Cunningham,Gasabo,Positive,Distance-based fares make the public transport system more efficient.,5/22/2024,positive,0.4355466365814209,[],transport make efficient
Melissa Cunningham,Gasabo,Positive,Distance-based fares make the public transport system more efficient.,5/22/2024,positive,0.4355466365814209,[],transport make efficient
Melissa Cunningham,Gasabo,Positive,Distance-based fares make the public transport system more efficient.,5/22/2024,positive,0.4355466365814209,[],transport make efficient
Melissa Cunningham,Gasabo,Positive,Distance-based fares make the public transport system more efficient.,5/22/2024,positive,0.4355466365814209,[],transport make efficient
Melissa Cunningham,Gasabo,Positive,Distance-based fares make the public transport system more efficient.,5/22/2024,positive,0.4355466365814209,[],transport make efficient
Melissa Cunningham,Gasabo,Positive,Distance-based fares make the public transport system more efficient.,5/22/2024,positive,0.4355466365814209,[],transport make efficient
