Name,District,Sentiment,Comment,Date
Lisa French,Gasabo,Neutral,I don't see much difference between the old and new fare systems.,3/24/2024
Angela Meyer,Kicukiro,Negative,This new fare system is too expensive for long commutes.,9/14/2024
Jack Turner,Nyarugenge,Positive,Distance-based fares make the public transport system more efficient.,12/14/2024
Mitchell Williams,Kicukiro,Negative,Now I pay more for the same journey. This is not fair!,2/1/2024
Cassandra Decker,Nyarugenge,Neutral,It’s too early to tell if this system is better or worse.,4/1/2024
Timothy Moore,Gasabo,Negative,The new fare model is confusing and costly for daily commuters.,5/12/2024
Brittany Massey,Kicukiro,Negative,Now I pay more for the same journey. This is not fair!,3/16/2024
Deborah Green,Nyarugenge,Positive,I think the distance-based fare is much fairer than the flat rate.,4/23/2024
Thomas Conway,Gasabo,Negative,I preferred the flat rate fare. It was simpler and cheaper.,1/12/2024
Melissa Cunningham,Gasabo,Positive,Distance-based fares make the public transport system more efficient.,5/22/2024
William Hall,Nyarugenge,Negative,This new fare system is too expensive for long commutes.,6/18/2024
Zachary Turner,Gasabo,Negative,Now I pay more for the same journey. This is not fair!,11/2/2024
Jeffrey Goodwin,Kicukiro,Neutral,It’s too early to tell if this system is better or worse.,7/14/2024
Kimberly Brewer,Kicukiro,Neutral,I don't see much difference between the old and new fare systems.,11/4/2024
Tina Grant,Gasabo,Positive,This new fare system saves me money on short trips.,10/13/2024
Anne Olsen,Kicukiro,Positive,Distance-based fares make the public transport system more efficient.,4/8/2024
Stephanie Burnett,Kicukiro,Negative,Now I pay more for the same journey. This is not fair!,2/3/2024
Tyler Miller,Nyarugenge,Neutral,It’s too early to tell if this system is better or worse.,1/29/2024
Joshua Hall DDS,Kicukiro,Positive,Distance-based fares make the public transport system more efficient.,11/25/2024
Brian Moyer,Kicukiro,Neutral,I'm still getting used to the new pricing system.,11/4/2024
Charles Chen,Gasabo,Neutral,I don't see much difference between the old and new fare systems.,11/3/2024
Guy Johnson,Kicukiro,Positive,This new fare system saves me money on short trips.,4/4/2024
David Andersen,Kicukiro,Neutral,The change is interesting but needs more public education.,11/9/2024
Jasmine Freeman,Kicukiro,Positive,Distance-based fares make the public transport system more efficient.,10/24/2024
Isabel Johnston,Gasabo,Negative,I preferred the flat rate fare. It was simpler and cheaper.,6/3/2024
Ashley Elliott,Nyarugenge,Negative,I preferred the flat rate fare. It was simpler and cheaper.,4/17/2024
Javier Barrett,Nyarugenge,Neutral,It’s too early to tell if this system is better or worse.,12/29/2024
Gabriel Schneider,Kicukiro,Negative,Distance-based pricing is unfair to people who live far from the city.,7/7/2024
Dennis Pena,Nyarugenge,Neutral,The distance-based fare has pros and cons depending on where you live.,8/27/2024
Kaitlyn Rivas,Nyarugenge,Negative,This new fare system is too expensive for long commutes.,5/25/2024
Janet Davis,Kicukiro,Negative,This new fare system is too expensive for long commutes.,4/4/2024
Zachary Skinner,Nyarugenge,Neutral,It’s too early to tell if this system is better or worse.,11/4/2024
Laurie Cunningham,Gasabo,Positive,I like the new system. It's more transparent and reasonable.,3/24/2024
Tammy Davis,Kicukiro,Positive,Distance-based fares make the public transport system more efficient.,9/5/2024
John Hughes,Gasabo,Positive,I think the distance-based fare is much fairer than the flat rate.,6/19/2024
Ellen Jordan,Kicukiro,Negative,The new fare model is confusing and costly for daily commuters.,7/13/2024
Adrian Carroll,Nyarugenge,Negative,This new fare system is too expensive for long commutes.,6/26/2024
Stephanie Jackson,Gasabo,Positive,"Finally, we pay based on how far we go. This is a great improvement!",11/28/2024
Erica Foster,Gasabo,Neutral,I don't see much difference between the old and new fare systems.,4/17/2024
Ronald Arroyo,Nyarugenge,Negative,I preferred the flat rate fare. It was simpler and cheaper.,11/24/2024
Sarah Ortiz,Nyarugenge,Positive,This new fare system saves me money on short trips.,4/12/2024
Christopher Campbell,Nyarugenge,Positive,This new fare system saves me money on short trips.,6/11/2024
John Morris,Kicukiro,Negative,Distance-based pricing is unfair to people who live far from the city.,6/13/2024
Shelly Vasquez,Nyarugenge,Positive,I think the distance-based fare is much fairer than the flat rate.,10/30/2024
Emma Holmes,Kicukiro,Positive,This new fare system saves me money on short trips.,4/8/2024
Dustin Obrien,Gasabo,Negative,Distance-based pricing is unfair to people who live far from the city.,6/22/2024
Jillian Allen,Kicukiro,Positive,Distance-based fares make the public transport system more efficient.,10/8/2024
Brian Edwards MD,Gasabo,Positive,I like the new system. It's more transparent and reasonable.,11/2/2024
Glenn Hale,Nyarugenge,Positive,Distance-based fares make the public transport system more efficient.,12/28/2024
Carl Johnson,Nyarugenge,Negative,I preferred the flat rate fare. It was simpler and cheaper.,2/8/2024
Andrew Carpenter,Nyarugenge,Positive,I like the new system. It's more transparent and reasonable.,1/10/2024
Leslie Lynn,Kicukiro,Neutral,The distance-based fare has pros and cons depending on where you live.,11/19/2024
Terry Rivera,Gasabo,Neutral,The distance-based fare has pros and cons depending on where you live.,3/14/2024
